"agIN target","AgIN non-target","Flex IN target","Flex IN non-target"
0.00000,-0.05248,0.04483,0.04489
0.48734,0.01251,0.02454,0.11000
0.25592,0.16232,0.00000,-0.18644
0.12492,0.14700,-0.01607,0.19528
-0.00227,0.23484,0.21923,0.00000
0.23685,0.00000,0.59122,-0.26263
0.05571,-0.67263,-0.01803,0.02414
0.01590,-0.09489,0.19881,-0.05937
-0.03540,0.42144,,0.06508
0.42605,0.55430,,-0.07290
0.29498,-0.03205,,0.22925
0.15557,0.10227,,0.34954
-0.01720,0.11556,,-0.05112
0.11887,-0.51313,,-0.01905
0.12192,0.49937,,0.01810
-0.01963,-0.17766,,0.32664
-0.16582,0.30474,,-0.04549
0.13520,0.16600,,0.00159
1.08097,0.08251,,0.43179
0.71379,0.14751,,0.31862
0.36541,-0.23627,,-0.26454
0.40885,0.11441,,-0.15440
,0.28926,,0.05691
,-0.38831,,-0.15182
,0.00000,,0.02670
,0.18119,,0.08354
,0.04596,,0.07374
,-0.13516,,-0.09500
,0.29068,,-0.02642
,,,0.22694
,,,0.00000
,,,-0.04950
