"nonAg target E","nonAg non Target E","target F","non Target F","AgIn Target E","AgIN non Target E","Target E","non Target E"
0.53966861,0.35733549,0.74469224,0.43825950,0.97640333,0.32137363,0.97640333,0.32137363
0.83377871,0.64032203,0.44656705,-0.44705800,0.97722817,-0.41173780,0.97722817,-0.41173780
0.67651821,0.03621559,0.77230077,0.51518807,0.92625966,0.97179239,0.92625966,0.97179239
0.52375340,0.75213132,0.53459116,0.53019328,0.89080374,-0.32609130,0.89080374,-0.32609130
0.68565899,-0.56139100,0.59071750,0.76500994,0.80780759,0.92424909,0.80780759,0.92424909
0.93863116,0.79211156,-0.21176830,0.39809169,0.49055824,-0.39825600,0.49055824,-0.39825600
0.84172585,0.43850281,0.53232080,0.85229511,0.40659268,-0.73014470,0.40659268,-0.73014470
,-0.36362210,0.88729552,0.68268217,0.91760425,0.73092608,0.91760425,0.73092608
,0.14224207,0.66842714,0.68360450,0.58412157,0.72624567,0.58412157,0.72624567
,0.13902179,0.85368090,-0.11122410,0.80962498,0.31149513,0.80962498,0.31149513
,0.44027504,0.23308165,-0.33648230,0.89708823,-0.86714020,0.89708823,-0.86714020
,0.60809777,,0.40354491,0.93954073,0.88317541,0.93954073,0.88317541
,0.55582320,,0.33780047,0.94637710,-0.22563350,0.94637710,-0.22563350
,0.86475400,,-0.43701310,0.55774832,0.72823447,0.55774832,0.72823447
,0.91470316,,0.56705405,0.95250632,0.88767396,0.95250632,0.88767396
,0.92191179,,0.29344929,0.98413165,0.60860549,0.98413165,0.60860549
,-0.65993590,,0.39100214,0.97142569,0.08623603,0.97142569,0.08623603
,0.91532449,,0.36547407,0.97612876,0.30222377,0.97612876,0.30222377
,0.95028594,,0.83486635,0.96048535,0.21899470,0.96048535,0.21899470
,0.92761973,,-0.68246020,0.96251740,0.47026109,0.96251740,0.47026109
,-0.62604200,,0.88615470,0.98555347,0.33331345,0.98555347,0.33331345
,0.76926959,,-0.41901440,0.98247842,0.23315801,0.98247842,0.23315801
,0.88238214,,-0.59389450,,-0.40723910,0.53966861,-0.40723910
,0.88876948,,0.86404780,,0.69273442,0.83377871,0.69273442
,0.87153266,,0.74429698,,0.63882776,0.67651821,0.63882776
,,,-0.80559320,,0.76273461,0.52375340,0.76273461
,,,0.56097193,,-0.35736350,0.68565899,-0.35736350
,,,0.73734720,,-0.42986880,0.93863116,-0.42986880
,,,0.87033012,,0.58478516,0.84172585,0.58478516
,,,0.35100063,,0.76216521,,0.76216521
,,,-0.11161490,,0.76574331,,0.76574331
,,,-0.26627830,,-0.29542600,,-0.29542600
,,,0.06579351,,-0.65441250,,-0.65441250
,,,0.44699519,,0.90886815,,0.90886815
,,,,,0.90890682,,0.90890682
,,,,,0.90005505,,0.90005505
,,,,,0.50975982,,0.50975982
,,,,,0.75616129,,0.75616129
,,,,,0.96450963,,0.96450963
,,,,,0.90472567,,0.90472567
,,,,,0.92442285,,0.92442285
,,,,,-0.17666800,,-0.17666800
,,,,,0.90738058,,0.90738058
,,,,,0.93445866,,0.93445866
,,,,,0.95182581,,0.95182581
,,,,,0.96575362,,0.96575362
,,,,,0.30555353,,0.30555353
,,,,,0.95371981,,0.95371981
,,,,,0.94885284,,0.94885284
,,,,,0.95649700,,0.95649700
,,,,,0.14719813,,0.14719813
,,,,,0.95175497,,0.95175497
,,,,,-0.20051350,,-0.20051350
,,,,,0.77184185,,0.77184185
,,,,,0.98002062,,0.98002062
,,,,,0.96248833,,0.96248833
,,,,,0.96962570,,0.96962570
,,,,,-0.40122150,,-0.40122150
,,,,,0.93118249,,0.93118249
,,,,,0.96288982,,0.96288982
,,,,,0.96663174,,0.96663174
,,,,,,,0.35733549
,,,,,,,0.64032203
,,,,,,,0.03621559
,,,,,,,0.75213132
,,,,,,,-0.56139100
,,,,,,,0.79211156
,,,,,,,0.43850281
,,,,,,,-0.36362210
,,,,,,,0.14224207
,,,,,,,0.13902179
,,,,,,,0.44027504
,,,,,,,0.60809777
,,,,,,,0.55582320
,,,,,,,0.86475400
,,,,,,,0.91470316
,,,,,,,0.92191179
,,,,,,,-0.65993590
,,,,,,,0.91532449
,,,,,,,0.95028594
,,,,,,,0.92761973
,,,,,,,-0.62604200
,,,,,,,0.76926959
,,,,,,,0.88238214
,,,,,,,0.88876948
,,,,,,,0.87153266
